,ID,Field,Species,Year_planted,Location,State,Unknow,Replicates,Height,Dbh,
67978,B102,115,NRO,2008,West_Lafayette,West_Indiana,B,2,10.01,2.6,
67979,B117,115,NRO,2008,West_Lafayette,West_Indiana,B,3,8.64,8.5,
67980,B122,115,NRO,2008,West_Lafayette,West_Indiana,B,4,8.45,7.7,
67981,B128,115,NRO,2008,West_Lafayette,West_Indiana,B,5,9.01,6.9,
67977,B13,115,NRO,2008,West_Lafayette,West_Indiana,B,1,10.01,8.5,
67982,B148,115,NRO,2008,West_Lafayette,West_Indiana,B,6,5.87,3.6,
67983,B153,115,NRO,2008,West_Lafayette,West_Indiana,B,7,9.51,6.8,
67984,B162,115,NRO,2008,Shadeland,South_Indiana,B,8,9.06,8.3,
67991,B192,139,BW,2002,West_Lafayette,West_Indiana,B,1,11.45,13.3,
67992,B196,139,BW,2002,West_Lafayette,West_Indiana,B,2,11.16,11.8,
67993,B205,139,BW,2002,West_Lafayette,West_Indiana,B,3,11.56,9.5,
67994,B212,139,BW,2002,West_Lafayette,West_Indiana,B,4,10.77,13.4,
67995,B226,139,BW,2002,West_Lafayette,West_Indiana,B,5,10.1,7.6,
67996,B233,139,BW,2002,West_Lafayette,West_Indiana,B,6,11.28,10.4,
67997,B235,139,BW,2002,West_Lafayette,West_Indiana,B,7,7.82,10.8,
67998,B248,139,BW,2002,West_Lafayette,West_Indiana,B,8,9.74,11,
68008,B267,117,NRO,2007,Shadeland,South_Indiana,B,1,7.62,6.7,
68009,B271,117,NRO,2007,Shadeland,South_Indiana,B,2,6.87,5.7,
68010,B284,117,NRO,2007,Shadeland,South_Indiana,B,3,6.81,6.3,
68011,B308,117,NRO,2007,Shadeland,South_Indiana,B,4,5.83,4.1,
68012,B330,117,BW,2008,Butlerville,South_Indiana,B,5,6.68,3.95,
68013,B345,117,NRO,2007,Shadeland,South_Indiana,B,6,7.07,5.2,
68014,B362,117,NRO,2007,Shadeland,South_Indiana,B,7,7.68,5.1,
68015,B386,117,BW,2008,Butlerville,South_Indiana,B,8,7.46,5.2,
68024,B421,176,BW,2008,Butlerville,South_Indiana,B,1,8.95,11.1,
68025,B458,176,BW,2008,Butlerville,South_Indiana,B,2,9.77,10.1,
